name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Ty Shepard,Spokane,JUCO,Fr,0.469,1187,1187,2027,2026,164,0.3273,0.2579,0.3968,0.0001,0.1781,0.0976,0.0793,0.3291,0.008,0.2756,0.3583
Nathan Woodside,Lower Columbia,JUCO,So,0.309,1015,1015,2027,2026,83,0.3272,0.2561,0.3983,-0.0004,0.168,0.1301,0.0712,0.3044,0.0061,0.2445,0.3749
Joey Marasco,GFU,D3,Fr,0.62,3420,3420,2027,2026,176,0.3272,0.2593,0.3952,0.0007,0.1478,0.1038,0.0936,0.318,0.0166,0.2756,0.342
Bailey Castillo,Wenatchee Valley,JUCO,Fr,0.261,4563,4563,2027,2025,82,0.3271,0.2555,0.3987,0.0,0.1502,0.1213,0.1031,0.3062,0.0064,0.252,0.3572
Jackson Upton,SMU,D2,Jr,0.332,3054,3054,2027,2026,55,0.3271,0.2562,0.398,0.0,0.2369,0.1024,0.0883,0.3279,0.0114,0.2581,0.3588
Dakota Chun,Portland,D1,Fr,0.462,3585,3585,2027,2026,169,0.3268,0.2572,0.3963,-0.0004,0.2206,0.0925,0.1473,0.3217,0.0237,0.2613,0.3411
Triston Wallace,Umpqua,JUCO,So,0.215,1271,1271,2027,2026,51,0.3268,0.2547,0.3989,0.0,0.2205,0.1028,0.0887,0.3222,0.0064,0.2529,0.3579
Logan Anderson,SW Oregon,JUCO,Fr,0.253,1160,1160,2027,2026,63,0.3267,0.255,0.3984,-0.0,0.1789,0.1402,0.0659,0.3046,0.0065,0.2385,0.3679
Luke Kovac,Clackamas,JUCO,So,0.617,787,787,2027,2026,160,0.3267,0.2588,0.3946,0.0017,0.1842,0.1379,0.078,0.2938,0.0069,0.2326,0.3619
Andrew Moberly,Pierce,JUCO,Fr,0.256,193,193,2027,2025,80,0.3266,0.2549,0.3983,0.0,0.157,0.1299,0.0745,0.3067,0.0064,0.248,0.3688
Daniel Iwamizu,SW Oregon,JUCO,So,0.288,1173,1173,2027,2025,94,0.3266,0.2553,0.398,0.0,0.1555,0.1117,0.0829,0.3061,0.0062,0.2475,0.3603
Payton Smith,LCSC,NAIA,Jr,0.693,2724,2724,2027,2026,173,0.3265,0.2593,0.3936,0.001,0.1171,0.125,0.1003,0.305,0.0115,0.2521,0.3531
Tegan Jenkins,Olympic,JUCO,Fr,0.54,1062,1062,2027,2026,218,0.3264,0.2576,0.3951,0.001,0.1482,0.1143,0.0565,0.327,0.0055,0.2777,0.3668
Aaron Menchaca,Clackamas,JUCO,So,0.568,786,786,2027,2026,147,0.3264,0.2579,0.3948,0.0003,0.1788,0.1285,0.0725,0.3091,0.0071,0.2498,0.3702
Jeremiah Robbins,Umpqua,JUCO,So,0.591,1268,1268,2027,2026,131,0.3263,0.2581,0.3945,0.0017,0.1217,0.1156,0.0994,0.2729,0.0107,0.2259,0.3581
Hudson Wilson,Douglas,JUCO,Fr,0.455,871,871,2027,2026,155,0.3263,0.2567,0.3959,-0.0001,0.1403,0.0948,0.0716,0.3184,0.0081,0.2728,0.3619
Tyler Jackson,Seattle U,D1,Fr,0.286,3689,3689,2027,2026,79,0.3262,0.2548,0.3975,0.0,0.2446,0.0984,0.1231,0.3299,0.0229,0.2635,0.3479
Kaleb Long,SW Oregon,JUCO,So,0.55,1166,1166,2027,2026,138,0.3262,0.2576,0.3948,0.0002,0.1458,0.1407,0.0724,0.2959,0.0053,0.2396,0.3684
Zach Blair,Mt. Hood,JUCO,Fr,0.483,4406,4406,2027,2025,117,0.326,0.2567,0.3953,0.0,0.1933,0.1222,0.0683,0.3184,0.0059,0.2545,0.3653
Tyson Rather,Tacoma,JUCO,Fr,0.25,1211,1211,2027,2026,62,0.3259,0.2542,0.3976,-0.0004,0.1998,0.1274,0.0954,0.2996,0.0094,0.2352,0.3615
Hayden Carlson,Seattle U,D1,Jr,0.323,3684,3684,2027,2026,94,0.3258,0.2549,0.3968,0.0,0.2711,0.0967,0.1232,0.3287,0.0197,0.2555,0.3483
Camden Raymond,Edmonds,JUCO,Fr,0.256,10455,10455,2027,2026,64,0.3258,0.2541,0.3975,0.0006,0.1648,0.12,0.1327,0.2921,0.0153,0.2399,0.343
Aaron Henry,Mt. Hood,JUCO,So,0.307,1045,1045,2027,2025,103,0.3257,0.2546,0.3969,0.0,0.2228,0.1142,0.1286,0.3035,0.0106,0.237,0.3422
Jake Holmes,Linn-Benton,JUCO,Fr,0.402,4382,4382,2027,2025,117,0.3257,0.2555,0.3959,0.0,0.2097,0.1152,0.0944,0.319,0.008,0.2532,0.3556
Landyn Fullmer,Treasure Valley,JUCO,So,0.205,1241,1241,2027,2025,60,0.3256,0.2534,0.3978,0.0,0.2095,0.1024,0.1051,0.3113,0.0113,0.2514,0.3506
Jace Bykari,Centralia,JUCO,Fr,0.49,740,740,2027,2026,179,0.3255,0.2562,0.3947,-0.0003,0.2009,0.0964,0.0999,0.325,0.0144,0.2701,0.3464
Joey Facilla,Columbia Basin,JUCO,Fr,0.392,839,839,2027,2026,120,0.3255,0.2553,0.3958,-0.0012,0.1844,0.1234,0.0803,0.3168,0.0085,0.2571,0.3611
Noah Takayama,GFU,D3,Jr,0.377,4138,4138,2027,2025,97,0.3254,0.255,0.3958,0.0,0.2058,0.0849,0.1209,0.3251,0.0127,0.2747,0.3433
Cole Krepcik,Spokane,JUCO,Fr,0.502,30,30,2027,2025,196,0.3253,0.2562,0.3944,0.0,0.1543,0.0997,0.0867,0.3214,0.0056,0.2723,0.3534
Tyler Langer,Big Bend,JUCO,So,0.444,669,669,2027,2026,74,0.3253,0.2555,0.395,-0.001,0.1857,0.1423,0.0873,0.289,0.008,0.2262,0.3713
AJ Romero,Whitman,D3,Sr,0.527,4064,4064,2027,2025,107,0.3253,0.2564,0.3941,0.0,0.1857,0.0888,0.1003,0.3216,0.0152,0.2698,0.3448
Baylor Hill,Everett,JUCO,Fr,0.491,88,88,2027,2025,177,0.3253,0.2561,0.3945,0.0,0.205,0.1491,0.0537,0.3184,0.0057,0.2493,0.3783
Jackson Boomer,UBC,NAIA,Jr,0.504,2990,2990,2027,2025,86,0.3252,0.2561,0.3943,0.0,0.1632,0.0898,0.1048,0.3274,0.0163,0.2719,0.3476
Tanner Stack,Centralia,JUCO,Fr,0.303,748,748,2027,2026,81,0.3252,0.254,0.3964,-0.0001,0.1997,0.1198,0.0889,0.3207,0.0063,0.2575,0.3581
Jackson Copeland,Pierce,JUCO,So,0.642,1090,1090,2027,2026,203,0.3251,0.2574,0.3928,0.0011,0.139,0.1061,0.0937,0.3057,0.0082,0.2605,0.3514
Tyson Grillo,Blue Mountain,JUCO,Fr,0.503,707,707,2027,2026,188,0.3248,0.2557,0.394,-0.0011,0.2335,0.141,0.063,0.3229,0.0056,0.2383,0.367
Andrew Israel,Clark,JUCO,Fr,0.492,4271,4271,2027,2025,170,0.3247,0.2554,0.3939,0.0,0.1582,0.1043,0.082,0.3017,0.0074,0.2464,0.3612
Asa Reese,PLU,D3,Sr,0.63,3225,3225,2027,2026,139,0.3247,0.2569,0.3925,-0.0012,0.212,0.0853,0.1413,0.3204,0.0264,0.2729,0.3342
Braden O'Donnell,Everett,JUCO,Fr,0.256,920,920,2027,2026,64,0.3246,0.2529,0.3963,0.0016,0.1648,0.12,0.0801,0.3135,0.0064,0.2568,0.3586
John Porter Strother,Umpqua,JUCO,So,0.224,1279,1279,2027,2025,67,0.3245,0.2524,0.3965,0.0,0.1792,0.1196,0.0994,0.3061,0.0088,0.2469,0.3558
Trevin Long,Clark,JUCO,So,0.608,106,106,2027,2025,196,0.3245,0.2565,0.3925,0.0,0.133,0.1268,0.0535,0.3083,0.0051,0.2596,0.3632
David Matthew,Olympic,JUCO,Fr,0.372,116,116,2027,2025,138,0.3245,0.2541,0.395,0.0,0.162,0.1194,0.0706,0.3135,0.0061,0.2568,0.3647
Kaedon Cruse,Clark,JUCO,Fr,0.464,626,626,2027,2026,161,0.3244,0.2549,0.3939,0.0005,0.1724,0.0884,0.093,0.3176,0.008,0.2632,0.35
Shayde Koga,Willamette,D3,Jr,0.547,3460,3460,2027,2026,84,0.3244,0.2557,0.393,0.0002,0.1764,0.101,0.12,0.3179,0.0122,0.2695,0.3427
Jaxon Fitzgerald,Bellevue,JUCO,Fr,0.265,10442,10442,2027,2026,67,0.3242,0.2526,0.3958,-0.0006,0.1804,0.1221,0.0852,0.3106,0.0064,0.249,0.3622
